skill,skill_name,invoke_name
B07V81391P,Adventure Travel Show,"Alexa, launch Adventure Travel Show”"
B07BMD7M3Z,Atom Tickets,"Alexa, launch Atom."
B01C67LF58,Aviation Weather,"Alexa, launch Aviation Weather"
B076294GFK,Best Buy,"Alexa, launch Best Buy."
B079JFNVQL,Panasonic Blu-ray Disc Player,"Alexa, launch Blu ray player."
B079C7W8VB,Principles by Ray Dalio,"Alexa, launch Daily Dalio"
B079H4HQ6P,FM NEWS 101 KXL,"Alexa, launch f. m. news one oh one k. x. l."
B07KFN79C1,Flying Chancla,"Alexa, launch Flying Chancla"
B07PJ7B5T5,GolfNow,"Alexa, launch Golf Now"
B01LYS8SYO,Hypno Therapist,"Alexa, launch hypno therapist"
B079HNLQSB,KLGR 1490 & 95.9,"Alexa, launch k. l. g. r."
B07ZTGSXF4,Bedtime: Lullaby Music,"Alexa, launch lullaby music"
B07Y29D7GL,NPR Wine Club,"Alexa, launch n. p. r. wine club”"
B07KCPWH27,Roku,"Alexa, launch Netflix on Roku"
B076QF1W32,94.1 Duke FM,"Alexa, launch ninety four one duke f. m."
B079KY2XNB,93.9 The Eagle (KSSZ),"Alexa, launch Ninety Three Nine The Eagle"
B079HNYGFJ,104-1 The Blaze,"Alexa, launch one oh four one the blaze"
B07CWC8RTM,Scare Me,"Alexa, launch Scare Me and tell me a scary story"
B07KYV63C8,Science Studio by Bayer,"Alexa, launch science studio"
B07QS54FMY,Fronius Solar.web,"Alexa, launch solar web"
B01CPBFDH6,Spanish,"Alexa, Launch Spanish"
B074MKCQX7,The Tick's Housework Hero,"Alexa, launch The Tick's Housework Hero."
B01N92PFXG,This Day in History,"Alexa, launch This Day in History"
B074TV61DK,TRIGGER command,"Alexa, launch TRIGGER command"
B075JMY61M,Virtual Trump,"Alexa, launch Virtual Trump"
B07GTJKYCS,Voice Rewards Me,"Alexa, launch Voice Rewards"
B01HG5G8ES,Learn French,"Alexa, learn French"
B01NBW3LZK,Learn Spanish - SpanishPod101.com Word of the Day,"Alexa, learn Spanish”"
