skill,skill_name,invoke_name
B07CWB6LRH,Comfort Sounds: Celtic Music,"Alexa, open Celtic Music"
B086JZSSZQ,celtic rosary,"Alexa, open celtic rosary"
B08VNCVDBL,Youtube Recommendations(unofficial),"Alexa, open channel recommendations"
B07HRHGVKF,Charities Support,"Alexa, open charities support"
B07K49GRCV,Chat Bot,"Alexa, open chat bot"
B071GM7Y6V,Chicago Summmer Festival & Event Calendar,"Alexa, open chicago events calendar"
B075VCF9JC,Kansas Chiefs Radio Network,"Alexa, open chiefs radio network"
B07D3F5NPJ,Chill DNB,"Alexa, open Chill DNB"
B078ZLMZRB,Chit Chat,"Alexa, open Chit Chat"
B07NM51N3B,Chore chart,"Alexa, open Chore chart"
B08B482TX8,Chore Reminder,"Alexa, open chore reminder"
B076DM2F5G,Christian Meditation,"Alexa, open christian meditation"
B076FFXH83,Christmas Radio,"Alexa, open christmas radio"
B071DPMYXY,Ambients: Church,"Alexa, Open Church Ambient"
B071RV17DX,Sleep Sounds: City Rain,"Alexa, open City Rain"
B07195KHJS,Sleep Sounds: City Sounds,"Alexa, open City Sounds"
B06Y1291WV,City Sounds by Sleep Jar®,"Alexa, open City Sounds"
B075TKHJFJ,Classic Rock 97 LAV,"Alexa, open classic rock ninety seven l. a. v."
B078RS5QSH,Clorox Clean,"Alexa, open Clorox Clean"
B08P1DWGW5,cocktailer,"Alexa, open cocktail instructor"
B01DQCN5HI,Comedy Dog,"Alexa, open Comedy Dog."
B08SWJKHSF,Comfort My Dogs,"Alexa, open Comfort My Dog”"
B01AVKM8NU,CompliBot,"Alexa, open CompliBot"
B07DGTLXRL,Confidence Affirmation,"Alexa, open Confidence Affirmation"
B06XBZDYV4,Cooking Temperature Buddy,"Alexa, open Cooking Temperature Buddy"
B091KC5ZFT,Copper Compression,"Alexa, open Copper Compression"
B076NZ8W9Q,Cosy Fireplace,"Alexa, open Cosy Fireplace"
B075WD48NB,Sleep Sounds: Country Night,"Alexa, open Country Night"
B09NQ7VL88,Crackling Fire,"Alexa, open crackling fire”"
B01M13DIF1,Crazy Fact,"Alexa, open Crazy Fact"
B0B6WQ16Z3,Create With Alexa,"Alexa, open create with me"
B071DGGH17,Cricket Sounds by Sleep Jar®,"Alexa, open Cricket Sounds"
B075QSWPHB,Sleep Sounds: Cricket Sounds,"Alexa, open Cricket Sounds"
B07S1SSB2J,Country Night Cricket Sound (2 hr) - Better Sleep,"Alexa, open cricket sounds”"
B071ZY5D17,Critical Thinking Skill,"Alexa, open critical thinking"
B01L4SQXE8,Dad Jokes,"Alexa, open dad jokes and tell me a joke"
B0861W9BBM,Daily Affirmations,"Alexa, open daily affirmations”"
B078J9CS1K,Daily Dose by Innovative Language,"Alexa, open Daily Dose"
B01N9Y7OT6,Daily Kindness | Spreading Kindness in the World,"Alexa, Open Daily Kindness"
B088KG5VWL,Daily Prayer,"Alexa, open daily prayer”"
B07HV2B5T4,Daily Trumpism,"Alexa, open Daily Trumpism"
B0759KJ8D2,Days Until,"Alexa, open Days Until"
B07GBVXFT4,Deep Sleep Meditation | Improve Sleep Quality,"Alexa, open Deep Sleep Meditation"
B01IXGKVEM,Deep Thoughts,"Alexa, open Deep Thoughts"
B081LV5DS6,Denigrame,"Alexa, open Denigrate spanish"
B08377KP6Z,Desiring God Sermon of the Day,"Alexa, open desiring god"
B01N9N308T,Diffuser Blends,"Alexa, open Diffuser Blends."
B07BB4WWB3,Disney Stories,"Alexa, open Disney Stories."
B075GKBZFP,Distant Thunderstorm by Sleep Jar®,"Alexa, open Distant Thunderstorm"
B075QXNSCZ,Sleep Sounds: Distant Train,"Alexa, open Distant Train"
B07BJ4CHKH,Divine Office Magnificat,"Alexa, open Divine Office Magnificat."
B01FPWIUN6,Dr Speech,"Alexa, open Doctor Speech"
B07NGQGN5P,Dog teaser,"Alexa, open dog teaser"
B07R3T7WS8,Dolly Parton Quotes,"Alexa, open Dolly Parton Quotes"
B01B5G99CC,Domino's,"Alexa, open Dominos"
B07735NFFX,Dori Monson - KIRO Radio 97.3 FM,"Alexa, open Dori Monson Show"
B074BBTYXW,DrugInfoSkill,"Alexa, open drug info"
B07KS3S374,ESPN Milwaukee,"Alexa, open e. s. p. n. milwaukee"
B01LZ50DYT,RUI's Earth Facts,"Alexa, open earth facts"
B07KWRFSCM,Email Pro,"Alexa, open Email Pro”"
B074JCPM4M,ESPN,"Alexa, open ESPN."
B0799MY7C2,Evening Prayer,"Alexa, open Evening Prayer"
B073R9LDLH,Exchange Rate,"Alexa, open exchange rate and convert dollar to rupee"
B088KN4PKL,"Explore Destinations, by Celebrity Cruises","Alexa, Open Explore Destinations"
B078SMBPQJ,Fairy Tale,"Alexa, open fairy tale fact"
B07Z3P2JZ2,Family Chores,"Alexa, open family chores"
B0797K17XD,Family Life Radio,"Alexa, open family life radio"
B07S8K6J5F,Family Quiz,"Alexa, open Family Quiz"
B01LY4X3YU,Famous Sonnet,"Alexa, open Famous Sonnet."
B06XZH3FJZ,Fan Sounds by Sleep Jar®,"Alexa, open Fan Sounds"
B07FS7TVPP,Fart Noise,"Alexa, open Fart Noise"
B01HUTWTRK,Fart Sound Jokes,"Alexa, open fart sound"
B07FRFBT81,Fascinating Cat Facts,"Alexa, open fascinating cat facts"
B075SWKXG4,Relaxing Sounds: Feng Shui Music,"Alexa, Open Feng Shui Music"
B078WTCTZK,Ambient Visions: Fireplace,"Alexa, open fireplace"
B0722N3G2G,Sleep Sounds: Fireplace Sounds,"Alexa, open Fireplace Sounds"
B06XRTJ29M,Fireplace Sounds by Sleep Jar®,"Alexa, open Fireplace Sounds"
B01NCHWH6U,FishWise,"Alexa, open FishWise"
B07V8L9LVR,Five More Minutes,"Alexa, open Five More Minutes"
B07931GKRJ,Flu Tool,"Alexa, open flu tool"
B0713ZFPF2,Sleep Sounds: Forest Bird Sounds,"Alexa, open Forest Bird Sounds"
B075W74Z7V,Forest Night by Sleep Jar®,"Alexa, open Forest Night"
B09MFSJ4Z6,Forest Night Sounds,"Alexa, open forest night sounds”"
B075TSRLBM,Fountain Sounds by Sleep Jar®,"Alexa, open Fountain Sounds"
B07CQ6N6JW,Free Beer and Hot Wings,"Alexa, open free beer and hot wings"
B078S3DHXC,Freeze Dance,"Alexa, open Freeze Dance"
B078THGXTG,Freeze Dancers,"Alexa, open freeze dancers"
B071ND6PPL,Frog Sounds by Sleep Jar®,"Alexa, open Frog Sounds"
B07CPSD9S6,Game of Places,"Alexa, open game of places"
B01N2R3BN9,General Electric Podcast Theater,"Alexa, open GE Podcast Theater."
B07D5C3ZPT,Get Organized,"Alexa, open Get Organized"
B07VYW5TRH,Ghostbusters: Franchise 84,"Alexa, open Ghostbusters”"
B06VX6VY1F,GMO Facts,"Alexa, Open GMO Facts."
B07FSNY8XD,Good Morning Beautiful,"Alexa, open Good Morning"
B075WNXWD9,Sleep Sounds: Gregorian Monks,"Alexa, open Gregorian Monks"
B0851XGMD4,Grocery List,"Alexa, open grocery list"
B07C8KWJN6,Guardian Technologies,"Alexa, open Guardian Technologies"
B07S783H5Z,Britannica’s Guardians of History,"Alexa, Open Guardians of History"
B0752SPRYW,Guess Me,"Alexa, open Guess Me”"
B07HYPD35J,Guided Sleep Meditation : Ultimate Deep Relaxation,"Alexa, open Guided Sleep Meditation"
B075WP245G,Sleep Sounds: Guitar Sounds,"Alexa, open Guitar Sounds"
B07SPZ4H4K,America's OTR - Gunsmoke Radio,"Alexa, open Gunsmoke Radio!"
B07DVL3MVK,Hail Mary,"Alexa, open Hail Mary”"
B07DJ59MHJ,Happiness Affirmation,"Alexa, open Happiness Affirmation"
B079TYM85T,Happy Hour,"Alexa, open Happy Hour."
B07RBCR48L,Hartford Courant,"Alexa, open Hartford Courant"
B074MJGHZ2,Hayward,"Alexa, open Hayward"
B075WH6CLF,Relaxing Sounds: Healing Music,"Alexa, Open Healing Music"
B076TFFB7D,Heart Rate Finder,"Alexa, open heart rate finder"
B0722N3KXP,Sleep Sounds: Heavy Rain,"Alexa, open Heavy Rain"
B075V2PX4Z,Heavy Rain Sounds by Sleep Jar®,"Alexa, open Heavy Rain Sounds"
B077F51WWV,Hide and Seek,"Alexa, open Hide and Seek"
B01L71RHEW,Hillary Clinton Facts,"Alexa, open hillary fact"
B0786S28PZ,Hip Hop Radio,"Alexa, open hip hop radio"
B07C9VNX58,Historical Voices,"Alexa, open Historical Voices"
B07D7Z3B4S,Vivitar Home Cameras,"Alexa, open home camera"
B07SZ7BCDJ,Nexx Smart Home,"Alexa, open home garage"
B07D4L3F3H,Hopeway Life,"Alexa, open hope way and turn camera alarm on"
B081G67BWP,Horror Story,"Alexa, open horror story"
B08T84JLT6,Chores,"Alexa, open household chores"
B073PDGZT7,Houston City Guide,"Alexa, open Houston City Guide"
B07NS33RHD,How Many Days,"Alexa, open How Many Days"
B07NW8T7V1,How Many Days,"Alexa, open How Many Days"
B08573M5JL,How Many Days,"Alexa, open how many days"
B07WQQF6GC,How Many Days,"Alexa, open How Many Days"
B0851XHT7W,How Many Days,"Alexa, open how many days"
B01MXE2UKQ,HuntWise,"Alexa, open HuntWise"
B01EFCJ0OU,Hurricane Center,"Alexa, open Hurricane Center"
B089X8XKHS,Hyper Reach,"Alexa, open Hyper Reach."
B078XMW9X8,I spy,"Alexa, open I spy"
B01KLID8YK,Current Local Time In India,"Alexa, open India time"
B075Q4Q752,Relaxing Sounds: Indian Flute,"Alexa, Open Indian Flute"
B07WHQ18GC,Mosquito Repellent - 100% working,"Alexa, open insect repellent"
B074TBH5N4,Irish Tunes,"Alexa, open Irish Tunes"
B09ND7YXN3,Jahez,"Alexa, open Jahez"
B075Q4TT5J,Relaxing Sounds: Japanese Flute,"Alexa, Open Japanese Flute"
B072M53YNL,Japanese Garden Sounds by Healing FM,"Alexa, open Japanese Garden Sounds”"
B071ZTFXVB,Jets Fan,"Alexa, open Jets fan."
B07N17JHBX,John Hancock,"Alexa, open john hancock"
B01LZSIYV5,Johnnie Walker,"Alexa, open Johnnie Walker"
B07JGNHZCW,justSmile,"Alexa, open just smile"
B07YSRTQ27,JW.ORG®,"Alexa, open jw.org"
B07MK5ZL2S,KDKA-TV News Pittsburgh,"Alexa, open k. d. k. a. t. v.”"
B07B1JFXNS,KJZZ,"Alexa, open KJZZ."
B074CLBJT9,KSAT 12 News and Weather - San Antonio,"Alexa, open KSAT”"
B07T2TSZG7,LaMusica,"Alexa, open la musica and play la mega New York"
B07GN5X28Q,Late coming Excuses,"Alexa, open Late coming Excuses"
B07C64BDGZ,LBC News London,"Alexa, open LBC London News”"
B078RGPMY6,Lemonade Stand,"Alexa, open Lemonade Stand"
B07KR5WSL3,Let's Blabber,"Alexa, Open let's blabber"
B07K6J4VRR,Talk to Me,"Alexa, open let's talk"
B06XHQFLGX,Life360,"Alexa, open Life 3 60"
B07Q2Y1S3K,Lift Factor Connect,"Alexa, open Lift Factor Connect”"
B07JMJ3WRV,Light Rain Sounds by Sleep Jar®,"Alexa, open Light Rain Sounds"
B07H5JKHQQ,Listen Japan,"Alexa, open listen japan"
B075ZBNR7W,LiveBallot,"Alexa, open Live Ballot"
B07YZDNYVM,4K Aerial Screensavers for Echo Show,"Alexa, open live screensavers"
B089649PZC,Live Streaming for Twitch,"Alexa, open Live Streaming"
B08QS4L7P1,Lo-Fi Beats,"Alexa, open Lo Fi Beats"
B076DKTGPQ,WPLG Local 10 News and Weather - Miami,"Alexa, open Local 10”"
B07PXYKLQJ,Local Bot,"Alexa, open Local Bot"
B07SB3ZC9H,Lullaby Sounds by Healing FM,"Alexa, open Lullaby Sounds”"
B082MT778N,Luminary,"Alexa, open Luminary"
B084C7QQV3,Lysol,"Alexa, open Lysol"
B078JQCZV1,Majic 94.5,"Alexa, open magic ninety four five"
B075VF5J1N,Magic 93 - WMGS,"Alexa, open magic ninety three"
B075WGFSYH,Relaxing Sounds: Magical Campfire,"Alexa, Open Magical Campfire"
B07F1QKBN1,Make Me Smile,"Alexa, Open Make Me Smile"
B07W87RCX6,Mango Facts,"Alexa, open Mango Facts"
B08FB79G8F,Marijuana Booklet,"Alexa, open marijuana booklet"
B075VFVVYS,Mark Levin Show,"Alexa, open mark le-vin show"
B07G1F1Y9L,Mattress FIRM Tips,"Alexa, open mattress firm tips"
B07B6RTLW4,Meal Chooser,"Alexa, Open Meal Chooser"
B01E1ZSQ5U,Meal Idea,"Alexa, open meal idea"
B07ZHBYQWH,Medicine Reminder - Vietnam,"Alexa, open medicine reminder”"
B081VXFDYL,medieval quiz,"Alexa, open medieval quiz"
B075WD7QFH,Sleep Sounds: Medieval Sounds,"Alexa, open Medieval Sounds"
B07G2L3TBB,Men's Health Minute,"Alexa, open Men's Health Minute"
B072TNGXZY,Washington D.C. Metro Bus Predictions,"Alexa, open metro bus"
B07VFK93V3,Sophi,"Alexa, open Mi Banco Banco”"
B07PPZ727Q,Mico Zoo,"Alexa, open mico zoo"
B01MR5F2W9,Mind Reader,"Alexa, open Mind Reader"
B01BN1DYBQ,1-Minute Mindfulness | Peace One Minute at a Time,"Alexa, Open Mindfulness"
B06XRCK755,Mr. Bartender,"Alexa, Open Mister Bartender"
B086QZXNJT,Morgan Freeman Motivation,"Alexa, open Morgan Freeman Motivation"
B075SXLYJT,Relaxing Sounds: Morning Music,"Alexa, Open Morning Music"
B076MJ5WXL,Morning Rooster,"Alexa, open Morning Rooster"
B07F58JC84,Morse Code Messenger,"Alexa, open Morse Code Messenger"
B07BHKXF8P,Motiv Ring,"Alexa, open Motiv Ring"
B076PYRXS7,Motivate Me!,"Alexa, open Motivate Me."
B071YVBXN1,Sleep Sounds: Mountain Lake,"Alexa, open Mountain Lake"
B082WNTW96,Muse Meditation,"Alexa, open Muse Meditation."
B075QZL8MR,Sleep Sounds: Music Box,"Alexa, open Music Box"
B086L4JLPJ,Music Player | Unofficial YouTube Playlist Player,"Alexa, open Music Player"
B076TT5ZGH,Musical Soul Food Radio,"Alexa, open musical soul food"
B07P8PVXW5,My birthday countdown,"Alexa, open My birthday countdown"
B071J4SX4L,Calculator,"Alexa, open my calculator"
B07D1TVM22,My Chatter,"Alexa, open my chatter”"
B084KML7CX,My Chores,"Alexa, open my chore"
B073PQ59YC,My Counter Ver2,"Alexa, open my counter"
B08SHLBNCN,My Daily Affirmations,"Alexa, open my daily affirmations"
B0757BH2SJ,My Daily Devotion,"Alexa, open my daily devotion”"
B07QPT8DRR,My Daily Prayers,"Alexa, open my daily prayers"
B01FB6A31I,Examining the Scriptures Daily,"Alexa, open my daily text for today"
B08DMKKG58,My delivery,"Alexa, open my delivery"
B07PM6GKHV,My Flashcards,"Alexa, open My Flashcards"
B06XPP135L,My Media,"Alexa, open My Media"
B07PQ33HV6,myNoise,"Alexa, open My Noise"
B07K1X5WSC,My Story,"Alexa, open My Story"
B0791GNRJ9,Nanit,"Alexa, open Nanit."
B06W9JQGVL,NASCAR,"Alexa, open NASCAR"
B075R2MLSR,Sleep Sounds: Native American Flute,"Alexa, open Native American Flute"
B075JB58NC,Nature Sounds,"Alexa, open Nature Sounds"
B077SYFPDS,NewLife Radio,"Alexa, open new life radio"
B075SK2LN7,News Radio 106.7,"Alexa, open news one oh six point seven"
B075TJHRBT,News Radio 1440,"Alexa, open news radio fourteen forty"
B0764GDTVG,Night Light,"Alexa, open Night Light”"
B075ZW3NRY,Night Night,"Alexa, open Night Night”"
B075RCLZQ9,95.5 KLOS,"Alexa, open ninety five five k. l. o. s."
B078JV9R2Y,95.1 SHINE-FM,"Alexa, open ninety five one shine f. m."
B075TT338F,94.9 KCMO,"Alexa, open ninety four nine k. c. m. o."
B07QLBN1CS,94.9 MIX FM,"Alexa, open ninety four nine mix f. m."
B075VG4JLS,99.5 Magic FM,"Alexa, open ninety nine point five magic f. m."
B075SK6VKV,96.3 WDVD,"Alexa, open ninety six three w. d. v. d."
B075TCGD9V,93X,"Alexa, open ninety three x."
B075VDJHNC,92.5 Nash Icon,"Alexa, open ninety two five nash icon"
B075TCBJL1,92 KQRS,"Alexa, open ninety two k. q. r. s."
B075SMKVMD,92 PRO-FM,"Alexa, open ninety two pro f. m."
B078HTP2K2,92Q Jams,"Alexa, open ninety two q."
B07M89TCHB,notification hub,"Alexa, open notification hub."
B07D19DXR8,NP Facts,"Alexa, open NP Facts"
B0739HFC6S,Nutrition Wiki,"Alexa, open nutrition wiki."
B077V2MV23,Ocean Sounds,"Alexa, open Ocean Sounds"
B071KYWH2L,Sleep Sounds: Ocean Sounds,"Alexa, open Ocean Sounds"
B01M5E92TH,Ocean Sounds by Sleep Jar®,"Alexa, open Ocean Sounds"
B078WTXRV3,Ambient Visions: Ocean Waves,"Alexa, open ocean waves"
B07DFKX8B1,Sleep Sounds of Ocean waves,"Alexa, open Ocean waves"
B07N6JVGNK,Omron Health,"Alexa, open Omron Health"
B075TTV7VB,102.5 WIOG,"Alexa, open one oh two point five w. i. o. g."
B01AVQLZQ0,1-2-3 Math,"Alexa, Open one two three”"
B0713ZFV63,Sleep Sounds: Oscillating Fan Sounds,"Alexa, open Oscillating Fan Sounds"
B079843645,Our Daily Bread,"Alexa, open our daily bread"
B07L3CW41D,PSEG (Public Service Electric and Gas),"Alexa, open p. s. e. and g."
B072TM4GX8,Packers Fan,"Alexa, open Packers fan."
B072M8GC31,Panthers Fan,"Alexa, open Panthers fan."
B076285Z91,ParkWhiz,"Alexa, open ParkWhiz."
B07V3XM5Y1,Party of Lincoln - News & Legislation,"Alexa, open Party of Lincoln"
B078THWM6Y,New England Patriots,"Alexa, open Patriots."
B07BKV1VCY,"Sleeping Sounds: Ambient, Spa And White Noise","Alexa, open peaceful sounds"
B08C7RNW9N,Pentair ScreenLogic,"Alexa, open pentair pool"
B019HTWWW8,Perfect Pitch,"Alexa, Open Perfect Pitch."
B07CXQFD5L,PETKIT,"Alexa, open pet kit"
B085951K77,"Pet Translator, by My Talking Pet","Alexa, open Pet Translator"
B07S33R6RF,Daniel Phelan Language Academy,"Alexa, open phelan elementary school"
B077KHD3T9,Phone Finder,"Alexa, open Phone Finder and search for my phone"
B07NVN73L1,Photosynthesis Quiz,"Alexa, open Photosynthesis Quiz"
B01M0S2SXX,Pickup LInes,"Alexa, open pickup lines”"
B075RD1J6B,Sleep Sounds: Pink Noise,"Alexa, open Pink Noise"
B074NY8FV6,Pink Noise by Sleep Jar®,"Alexa, open Pink Noise"
B079FT68DX,Pivot Podcast,"Alexa, Open Pivot Podcast"
B01N485MN4,Planetary Weight,"Alexa, open planetary weight"
B07XCV7SD4,Pledge Free Stream from KQED,"Alexa, open pledge free stream”"
B07T73LFJ3,Polish Flash Cards,"Alexa, open Polish Flash Cards"
B077G87QYC,Praise 100.9,"Alexa, open praise one hundred point nine"
B078JZKXBR,Praise 104.7,"Alexa, open praise one oh four point seven"
B0747V2K8M,PRAISE Radio,"Alexa, open praise radio."
B07MHTJRYX,Prayer Times,"Alexa, open Prayer Times"
B079T7Z7Y9,Prudential Retirement,"Alexa, Open Prudential Retirement"
B07DBKX389,Put-in-Bay Restaurant Guide,"Alexa, Open Put-in-Bay Restaurant Guide"
B07QV5S4JH,Q 100.3,"Alexa, open q. one hundred point three"
B077H7S9HC,Radio Big Sister,"Alexa, Open Radio Big Sister."
B01MT1LTF7,Radio Inner Sanctum,"Alexa, open Radio Inner Sanctum.”"
B01NBMH2WE,Radio Johnny Dollar,"Alexa, open Radio Johnny Dollar.”"
B01N9N0YCA,Radio Mystery Theater,"Alexa, Open Radio Mystery Theater."
B01NCWOE0X,Radio Nero Wolfe,"Alexa, Open Radio Nero Wolfe."
B084ZHLJS8,Radio Old Time,"Alexa, open Radio Old Time.”"
B01NBQOKOZ,Radio Richard Diamond,"Alexa, open Radio Richard Diamond.”"
B01N5QFCPK,Radio Scotland Yard,"Alexa, Open Radio Scotland Yard."
B06W5GWSW6,Radio Sherlock Holmes,"Alexa, open Radio Sherlock Holmes.”"
B01NH7RX6W,Radio Superman,"Alexa, Open Radio Superman."
B07B3S4V4W,Rain at Mama's House,"Alexa, open Rain At Mamas House"
B07DDFW5RK,RainMachine,"Alexa, open rain machine."
B075QQ9QP4,Sleep Sounds: Rain On A Tent,"Alexa, open Rain On A Tent"
B075DVY1SF,Rain on a Tent by Sleep Jar®,"Alexa, open Rain on a Tent"
B075F37ZHM,Rain on a Tin Roof by Sleep Jar®,"Alexa, open Rain on a Tin Roof"
B075QPRXXM,Sleep Sounds: Rain On A Tin Roof,"Alexa, open Rain On A Tin Roof"
B07JMM35CJ,Rain on a Window by Sleep Jar®,"Alexa, open Rain on a Window"
B08CKPMDJ9,Rain,"Alexa, open Rain Sounds"
B072L5H6WK,Sleep Sounds: Rain Sounds,"Alexa, open Rain Sounds"
B01LXQXW3G,Rain Sounds by Sleep Jar®,"Alexa, open Rain Sounds"
B0772HL52Y,Rain Sounds,"Alexa, open Rain Sounds"
B08DXSVYMM,Rain Thunder,"Alexa, open rain thunder"
B078WTWK7W,Ambient Visions: Rainfall,"Alexa, open rainfall"
B06Y3TH1TB,Rainforest Sounds by Sleep Jar®,"Alexa, open Rainforest Sounds"
B07GXRKHN6,Rainforest Sounds,"Alexa, open rainforest sounds"
B072L532XW,Sleep Sounds: Rainforest Sounds,"Alexa, open Rainforest Sounds"
B079YV6WZL,Raleigh News & Observer,"Alexa, open raleigh news"
B01MFBZO7M,random-song-lyrics,"Alexa, open random song lyrics”"
B081LG1SXC,Real Simple Tips,"Alexa, open Real Simple Tips"
B0857GN4JC,Red Bull TV,"Alexa, open Red Bull TV"
B0786QYD21,Red Eye Radio,"Alexa, open red eye radio"
B07BC7G4JH,Red Riding Hood - Interactive story for kids,"Alexa, open Red Riding Hood”"
B07JZ775V3,Calm My Cat,"Alexa, Open Relax My Cat"
B07JYYHV5L,Comfort My Dog,"Alexa, Open Relax My Dog"
B081CNKJKB,Relax My Dog®,"Alexa, open relax my dog"
B07YDRSPM3,Relax My Pet,"Alexa, Open Relax My Pet"
B07BSZC9V2,Relaxing Jazz,"Alexa, open Relaxing Jazz"
B07GYJD338,Relaxing Music,"Alexa, open relaxing music"
B083GHSQV7,Relaxing Music for Dogs,"Alexa, open Relaxing Music Dogs"
B07K5SLW85,Relaxing Piano,"Alexa, open relaxing piano"
B075WL3P92,Sleep Sounds: Relaxing Piano,"Alexa, open Relaxing Piano"
B074YV4VJ3,Relaxing Sounds,"Alexa, open Relaxing Sounds"
B019YGPC1M,Resistor Decoder,"Alexa, open Resistor Decoder."
B074787PH6,Can I Have a Conversation in the Restroom,"Alexa, open restroom conversations"
B07PDXRN6W,Reverie Connect,"Alexa, open Reverie Connect and set bed to flat"
B07FPC7YJ9,Roast Me - Pro,"Alexa, open roast me pro.”"
B07FFN7RLJ,Rock 102.1 KFMA,"Alexa, open rock one oh two point one k. f. m. a."
B09DCK7HRF,Smith & Noble - Smart Shades 2.0,"Alexa, open Roller Shades."
B073W3T5GW,Rosetta Stone,"Alexa, open rosetta stone"
B079YX279Z,Sacramento Bee,"Alexa, open sacramento bee"
B01JFUHN0K,School Menus By Nutrislice,"Alexa, open school menus."
B0766625N6,Scooby Doo! Mystery Inc. Theater,"Alexa, open Scooby-Doo"
B075WCZ4J1,Sleep Sounds: Seaside Sounds,"Alexa, open Seaside Sounds"
B077399T1V,Seattle's Morning News - KIRO Radio 97.3 FM,"Alexa, open seattle's morning news"
B073PQGLQB,Security Flashcards,"Alexa, open Security Flashcards"
B07KXT5GTK,Self Esteem Increaser,"Alexa, open self esteem increaser"
B073XBBWRQ,Sesame Street,"Alexa, open Sesame Street."
B073RW711G,710 ESPN Seattle,"Alexa, open seven ten e. s. p. n. seattle"
B07SPKYF8Y,Automate Shades V2,"Alexa, open shade name"
B078RR9PJY,Sight Words,"Alexa, open sight words"
B01NBLMM84,Simon Says,"Alexa, open Simon Says"
B078HW242V,Sit ubu sit,"Alexa, open Sit ubu sit”"
B075ZY6NGD,Sleep Light,"Alexa, open Sleep Light”"
B075QTJGCH,Sleep Sounds: Sleep Little Babies,"Alexa, open Sleep Little Babies"
B071CG8GB8,Sleep Sounds,"Alexa, open Sleep Sounds"
B07TDGMK9K,Sleep Tales - Relaxing Bedtime Stories for All,"Alexa, open sleep tales"
B07HYYK91Y,Slow German Podcast,"Alexa, open slow german podcast"
B0BHZ2B66G,Smart Clocks - Audible Clock Chimes For Your Home,"Alexa, open smart clocks”"
B07D74ZW4W,GOSPELL,"Alexa, open smart performer"
B073R7GH3Q,SmartCam+,"Alexa, Open smartcam."
B081VT3KH7,Sound Machine,"Alexa, open Sound Machine"
B075DXQFHN,Space Deck by Sleep Jar®,"Alexa, open Space Deck"
B075WFWNS6,Relaxing Sounds: Spanish Guitar,"Alexa, Open Spanish Guitar"
B072LTXJCT,speak spell,"Alexa, open Speak Spell"
B0711M1Z4B,Spider-Man,"Alexa, open Spiderman"
B073RXM93H,Sports Radio 104.3 The Fan,"Alexa, open sports radio one oh four three the fan."
B08HKZ1KRQ,Star 106.9,"Alexa, open star one oh six point nine"
B07L8XWGW3,stone text,"Alexa, open stone text"
B079HDBYD2,Store Card,"Alexa, open store card."
B078T1ZXPN,Watch TV with Stream Player,"Alexa, open Stream Player"
B079ZPK29L,KBLS 102.5 FM,"Alexa, open sunny one oh two point five"
B07QCVSX2P,Super Burp,"Alexa, open Super Burp"
B07L1N278F,You Choose Superman Adventures,"Alexa, open Superman Adventures"
B07B88GSCK,Supertalk Mississippi,"Alexa, open supertalk mississippi"
B074M4PZJD,Sweet Dreams,"Alexa, open sweet dreams"
B075NLDYBV,Sword and Scale,"Alexa, open sword and scale."
B075SKHT38,Talk Radio 102.3,"Alexa, open talk one oh two point three"
B07NC8NTJZ,Tammy's Tingle Karaoke,"Alexa, open tammy's tingle karaoke"
B07PY89DPV,The Beach Bum,"Alexa, open the Beach Bum”"
B076SYBVKR,IKEA Home smart 1,"Alexa, open the Bedroom blinds"
B07CMHQV9Q,The Ben Shapiro Show,"Alexa, open the ben shapiro show"
B019S6O3LS,The Bible,"Alexa, open The Bible."
B077YCN1HP,99.7 The Blitz - WRKZ Columbus Ohio,"Alexa, open The Blitz."
B01GY2FTIK,Box of Cats,"Alexa, open the box of cats"
B07X2WM7WD,Chinese Joke,"Alexa, open the chinese joke"
B07M6MKJXB,The Daily,"Alexa, open The Daily"
B092S3BTPC,The Daily Question,"Alexa, open The Daily Question"
B01HHDCU2S,The Daily Show,"Alexa, open The Daily Show”"
B0839P5QRZ,Aladdin Connect Smart Home,"Alexa, open the garage door."
B077GGXMXF,The Jazz Groove,"Alexa, open The Jazz Groove"
B07SWHFR8G,Listen to The Kim Komando Show,"Alexa, open The Kim Komando Show"
B07GSYK2FP,The King is Coming,"Alexa, open the king is coming"
B01B7AHS8I,The Law,"Alexa, open The Law"
B01BMUU6JQ,The Magic Door,"Alexa, open the magic door”"
B01A637FE4,The Scriptures,"Alexa, open The Scriptures."
B088Z34GVG,The Star,"Alexa, open the star news"
B01N1SVDX4,The Tonight Show,"Alexa, open The Tonight Show"
B01C9AX5VY,The Wayne Investigation,"Alexa, open the Wayne Investigation"
B07SL94LJ5,The Writer's Almanac,"Alexa, open The Writer's Almanac"
B07FR67MWJ,Thoughts of Dog Latest Tweet,"Alexa, open Thoughts of Dog"
B09186V5MB,Thunderstorm Sounds And Rain™,"Alexa, open thunderstorm sounds"
B07633JY7M,Thunderstorm Sounds,"Alexa, open Thunderstorm Sounds"
B072L534SK,Sleep Sounds: Thunderstorm Sounds,"Alexa, open Thunderstorm Sounds"
B01M3RCM3B,Thunderstorm Sounds by Sleep Jar®,"Alexa, open Thunderstorm Sounds"
B075WQZDRG,Sleep Sounds: Tibetan Bowls,"Alexa, open Tibetan Bowls"
B07GSY8Z4G,Tibetan Singing Bowls,"Alexa, open Tibetan Singing Bowls"
